A,B,C,D,E,F
79,5,5,6,69,0
62,6,42,29,0,1
34,16,14,25,12,0
35,13,27,10,57,0
94,8,8,11,54,1
98,16,5,19,30,1
34,1,24,27,6,0
61,10,5,2,81,0
43,19,21,16,39,1
43,13,46,17,36,1
38,17,20,20,27,1
26,19,6,0,87,0
83,0,19,4,75,0
28,15,18,10,57,0
15,5,42,0,87,0
16,14,42,27,6,1
42,12,6,21,24,0
44,2,20,27,6,0
1,18,43,2,81,1
54,1,34,5,72,0
73,9,2,11,54,0
76,18,2,25,12,1
4,5,10,12,51,0
25,5,49,24,15,0
23,10,31,19,30,0
78,5,14,15,42,0
50,12,40,19,30,1
78,19,30,25,12,1
46,8,13,17,36,0
98,1,40,5,72,1
10,19,30,24,15,0
64,0,25,20,27,0
89,15,41,11,54,1
62,1,30,4,75,0
20,5,21,23,18,0
16,10,41,27,6,0
56,0,0,18,33,0
46,3,11,13,48,0
85,19,8,4,75,1
91,15,27,27,6,1
49,16,49,26,9,1
57,0,13,10,57,0
63,12,18,22,21,1
14,14,10,9,60,0
36,5,17,8,63,0
22,12,47,1,84,1
6,6,18,21,24,0
52,4,27,19,30,0
63,13,17,12,51,1
72,14,29,24,15,1
33,1,28,8,63,0
26,2,38,18,33,0
7,11,19,13,48,0
31,14,24,9,60,0
6,14,41,26,9,0
74,1,0,28,3,0
63,5,6,0,87,0
68,9,39,15,42,1
74,5,46,25,12,1
76,5,25,29,0,1
77,18,9,22,21,1
25,18,12,28,3,0
62,6,35,15,42,1
89,14,38,12,51,1
27,2,34,1,84,0
98,19,34,27,6,1
90,12,29,9,60,1
70,19,25,18,33,1
5,14,30,16,39,0
88,6,42,3,78,1
5,2,25,0,87,0
26,1,15,22,21,0
86,9,43,18,33,1
11,0,39,4,75,0
56,19,0,22,21,0
10,4,12,26,9,0
91,16,28,8,63,1
12,14,17,11,54,0
55,14,24,16,39,1
35,6,16,27,6,0
44,15,13,29,0,0
19,13,35,3,78,0
56,8,13,10,57,0
86,9,38,16,39,1
63,15,18,29,0,1
99,4,21,5,72,1
62,9,33,26,9,1
22,18,48,16,39,1
55,1,20,0,87,0
32,13,24,9,60,0
8,13,31,17,36,0
8,14,36,0,87,0
70,18,5,16,39,1
64,0,11,13,48,0
94,3,45,27,6,1
76,4,1,9,60,0
71,19,23,1,84,1
42,7,2,23,18,0
24,12,14,25,12,0
22,7,32,20,27,0
52,18,8,20,27,1
51,8,25,29,0,0
70,3,30,4,75,1
6,9,29,4,75,0
41,12,47,9,60,1
52,1,22,28,3,0
25,12,20,14,45,0
95,2,49,4,75,1
92,11,25,23,18,1
57,16,17,18,33,1
65,11,33,5,72,1
58,17,26,6,69,1
76,1,28,17,36,1
43,11,27,6,69,1
55,7,45,22,21,1
18,16,40,22,21,1
86,18,21,27,6,1
41,12,41,21,24,1
15,4,39,16,39,0
48,0,34,19,30,0
70,2,10,8,63,0
79,8,3,8,63,0
79,8,22,12,51,1
26,1,26,28,3,0
85,11,23,23,18,1
76,3,7,19,30,0
58,15,2,12,51,0
13,15,49,0,87,1
85,9,25,11,54,1
76,9,3,22,21,0
77,6,16,26,9,1
5,15,32,3,78,0
82,14,43,8,63,1
72,5,14,11,54,0
55,10,11,15,42,0
91,6,47,4,75,1
87,0,29,0,87,1
99,11,18,7,66,1
31,1,13,3,78,0
12,10,44,14,45,0
19,4,49,8,63,0
28,6,12,25,12,0
93,10,12,9,60,1
41,3,21,27,6,0
46,4,42,6,69,1
30,2,31,0,87,0
12,6,41,4,75,0
4,17,1,24,15,0
93,15,38,14,45,1
31,7,31,13,48,0
55,1,10,17,36,0
48,16,18,6,69,1
64,6,6,12,51,0
63,0,21,22,21,0
76,0,21,4,75,0
77,6,3,18,33,0
80,12,19,0,87,1
12,11,23,16,39,0
41,19,28,1,84,1
65,13,39,21,24,1
51,10,4,0,87,0
26,16,17,15,42,0
15,13,11,21,24,0
57,0,41,12,51,1
24,0,4,23,18,0
5,7,9,28,3,0
66,16,18,21,24,1
48,18,43,2,81,1
68,12,17,5,72,1
12,3,31,19,30,0
55,7,29,6,69,1
20,4,23,2,81,0
40,5,6,14,45,0
30,13,41,14,45,1
86,4,1,6,69,0
66,3,13,17,36,0
14,5,44,28,3,0
82,0,49,14,45,1
4,12,38,7,66,0
45,16,38,15,42,1
8,1,13,21,24,0
36,9,5,24,15,0
42,12,19,13,48,0
21,8,1,20,27,0
20,18,17,24,15,0
38,9,21,25,12,0
8,5,18,28,3,0
56,17,30,20,27,1
67,15,33,2,81,1
50,4,32,26,9,0
67,19,19,24,15,1
11,11,10,23,18,0
41,7,0,7,66,0
1,10,28,25,12,0
22,12,10,2,81,0
42,15,35,25,12,1
51,8,28,13,48,1
61,18,37,10,57,1
58,0,22,10,57,0
10,2,33,13,48,0
96,4,19,19,30,1
91,12,6,25,12,1
37,11,6,24,15,0
58,4,7,11,54,0
57,12,48,15,42,1
11,17,33,12,51,0
48,5,2,19,30,0
72,8,42,3,78,1
53,5,32,28,3,1
32,13,38,14,45,1
82,16,42,17,36,1
6,1,9,7,66,0
78,19,6,21,24,1
96,15,32,0,87,1
46,11,11,14,45,0
28,8,29,1,84,0
16,9,1,25,12,0
35,8,2,11,54,0
47,1,29,29,0,0
86,16,10,19,30,1
90,1,8,29,0,0
88,1,43,9,60,1
45,4,20,12,51,0
85,11,27,19,30,1
5,7,13,22,21,0
57,15,17,8,63,1
33,13,18,2,81,0
9,5,11,28,3,0
26,7,49,19,30,1
29,6,20,11,54,0
39,6,47,8,63,1
5,17,29,1,84,0
92,12,20,21,24,1
81,13,32,18,33,1
4,4,31,25,12,0
76,2,43,18,33,1
42,13,42,21,24,1
45,10,2,2,81,0
62,9,26,11,54,1
29,18,17,6,69,0
3,10,49,17,36,0
95,1,47,4,75,1
30,2,47,28,3,0
81,1,9,4,75,0
36,4,3,3,78,0
26,16,43,14,45,1
15,13,35,21,24,0
2,3,3,0,87,0
19,3,29,26,9,0
36,5,44,28,3,1
73,11,44,22,21,1
21,16,28,20,27,0
42,0,21,0,87,0
33,16,18,2,81,0
35,19,14,20,27,0
90,10,40,27,6,1
74,19,2,27,6,1
74,4,28,1,84,1
95,3,3,26,9,0
69,13,3,12,51,0
76,5,37,14,45,1
15,3,35,15,42,0
8,17,39,8,63,1
12,4,36,16,39,0
89,18,1,8,63,1
69,7,40,20,27,1
11,11,2,21,24,0
85,10,16,28,3,1
73,8,25,13,48,1
43,5,12,5,72,0
41,10,8,27,6,0
21,13,49,5,72,1
31,1,48,4,75,0
79,18,4,23,18,1
39,17,38,19,30,1
64,19,18,4,75,1
35,3,39,5,72,0
13,0,42,5,72,0
60,14,21,11,54,1
66,8,12,20,27,0
95,2,32,16,39,1
94,9,24,8,63,1
75,1,41,17,36,1
91,15,49,5,72,1
9,2,38,1,84,0
6,4,21,5,72,0
20,15,22,8,63,0
85,0,21,27,6,1
60,13,7,20,27,0
8,2,20,10,57,0
6,2,41,19,30,0
48,7,40,2,81,1
4,13,32,9,60,0
30,9,45,8,63,1
61,10,3,22,21,0
7,15,7,21,24,0
59,13,15,19,30,1
15,3,46,9,60,0
49,17,24,1,84,1
47,10,45,25,12,1
27,5,27,24,15,0
6,14,36,4,75,0
65,11,44,20,27,1
18,15,7,28,3,0
0,8,32,3,78,0
1,13,14,19,30,0
86,12,9,23,18,1
39,7,21,11,54,0
34,12,49,15,42,1
67,13,42,0,87,1
7,7,20,3,78,0
93,12,33,10,57,1
81,3,16,23,18,0
22,7,1,9,60,0
31,16,23,19,30,0
98,19,14,0,87,1
99,8,39,23,18,1
56,10,43,16,39,1
86,0,9,17,36,0
24,4,28,1,84,0
6,9,23,4,75,0
87,11,26,2,81,1
67,17,35,26,9,1
78,6,45,12,51,1
93,14,16,15,42,1
93,4,13,22,21,1
95,0,12,15,42,0
18,13,17,24,15,0
89,2,24,23,18,1
45,17,45,12,51,1
2,12,35,20,27,0
44,19,41,13,48,1
73,4,44,27,6,1
66,17,36,20,27,1
24,14,1,15,42,0
68,14,44,14,45,1
28,17,42,16,39,1
52,9,25,0,87,1
40,11,6,26,9,0
75,6,38,5,72,1
22,0,44,14,45,0
61,12,28,1,84,1
16,6,43,10,57,0
32,4,31,0,87,0
11,10,44,23,18,0
70,11,19,5,72,1
37,0,35,0,87,0
42,9,14,2,81,0
47,15,43,25,12,1
39,0,45,18,33,0
29,3,41,9,60,0
90,18,26,26,9,1
24,15,11,14,45,0
41,4,12,25,12,0
41,5,10,21,24,0
46,6,42,10,57,1
48,14,43,14,45,1
69,15,5,8,63,1
37,7,14,20,27,0
24,6,30,6,69,0
17,2,26,12,51,0
72,2,46,3,78,1
5,17,14,17,36,0
16,12,46,24,15,1
29,13,27,2,81,0
23,11,46,26,9,1
96,19,49,1,84,1
12,13,32,1,84,0
35,9,5,26,9,0
71,9,21,1,84,1
89,14,13,20,27,1
1,17,40,29,0,0
26,4,13,5,72,0
40,12,39,23,18,1
67,0,35,27,6,1
14,12,46,9,60,1
46,8,6,29,0,0
77,1,44,2,81,1
52,12,44,25,12,1
33,12,24,1,84,0
31,12,19,8,63,0
18,15,15,26,9,0
75,12,18,27,6,1
73,10,0,27,6,0
30,3,0,17,36,0
90,16,40,20,27,1
5,14,16,9,60,0
24,1,5,20,27,0
64,18,30,3,78,1
5,17,15,0,87,0
39,3,11,4,75,0
80,16,16,4,75,1
9,6,44,25,12,0
67,7,36,22,21,1
53,16,25,12,51,1
23,12,45,1,84,1
47,6,31,11,54,0
27,10,15,1,84,0
58,5,31,7,66,1
98,18,48,19,30,1
80,13,45,6,69,1
87,14,21,29,0,1
39,17,47,18,33,1
6,7,20,25,12,0
15,16,49,9,60,1
80,4,9,10,57,0
88,5,19,13,48,1
29,14,46,27,6,1
0,15,28,17,36,0
9,19,16,19,30,0
4,6,20,9,60,0
74,17,0,14,45,1
52,8,15,13,48,0
81,0,40,11,54,1
34,2,40,0,87,0
91,14,13,18,33,1
43,13,24,26,9,1
34,5,21,21,24,0
8,4,12,11,54,0
99,3,20,7,66,1
87,15,32,14,45,1
16,14,1,21,24,0
20,0,7,27,6,0
77,1,12,4,75,0
63,0,21,23,18,0
68,6,21,23,18,1
86,1,48,1,84,1
39,0,21,5,72,0
3,8,14,23,18,0
65,19,23,19,30,1
85,0,31,1,84,1
93,6,3,22,21,1
90,19,21,9,60,1
12,10,41,14,45,0
19,18,46,6,69,1
90,3,33,23,18,1
76,16,44,16,39,1
59,16,23,11,54,1
7,4,36,11,54,0
39,8,5,20,27,0
42,12,12,1,84,0
7,14,25,13,48,0
8,6,4,0,87,0
15,8,0,6,69,0
3,17,44,20,27,1
0,11,16,11,54,0
88,15,18,10,57,1
85,14,9,16,39,1
15,17,47,27,6,1
98,5,2,21,24,1
74,9,19,16,39,1
37,9,33,23,18,0
38,0,32,22,21,0
16,5,45,15,42,0
4,11,15,23,18,0
15,10,26,2,81,0
79,5,24,18,33,1
61,5,43,6,69,1
97,17,38,10,57,1
50,18,38,4,75,1
49,16,45,25,12,1
75,10,3,11,54,0
37,16,49,9,60,1
91,4,37,4,75,1
21,8,27,18,33,0
26,8,23,3,78,0
37,9,17,17,36,0
91,10,15,7,66,1
72,4,5,25,12,0
24,0,40,17,36,0
67,3,1,8,63,0
53,16,32,10,57,1
37,18,45,5,72,1
41,3,44,23,18,1
4,10,37,23,18,0
93,12,42,27,6,1
70,3,25,6,69,1
82,16,19,8,63,1
74,5,36,17,36,1
0,8,27,21,24,0
34,5,22,24,15,0
79,13,18,9,60,1
62,7,39,2,81,1
84,6,48,21,24,1
13,11,5,19,30,0
77,9,35,7,66,1
41,2,9,26,9,0
40,6,10,18,33,0
82,16,31,22,21,1
92,5,7,18,33,1
33,10,7,19,30,0
99,0,33,2,81,1
22,14,22,23,18,0
75,15,47,3,78,1
32,11,9,2,81,0
83,19,35,24,15,1
4,6,8,11,54,0
36,11,43,22,21,1
0,9,35,6,69,0
75,9,44,21,24,1
64,17,28,22,21,1
67,7,14,13,48,0
80,9,33,10,57,1
43,9,10,27,6,0
6,10,39,0,87,0
75,19,39,12,51,1
66,10,29,11,54,1
58,9,21,15,42,1
83,19,28,8,63,1
77,2,16,6,69,0
54,16,15,15,42,1
81,1,43,5,72,1
94,2,47,14,45,1
34,5,23,4,75,0
60,18,12,3,78,1
6,6,24,6,69,0
22,16,37,23,18,1
62,8,17,23,18,0
55,9,19,20,27,0
73,3,45,2,81,1
8,8,32,4,75,0
89,12,13,12,51,1
79,9,13,18,33,1
90,5,14,25,12,1
64,18,37,11,54,1
21,19,46,19,30,1
55,1,37,2,81,0
15,7,14,23,18,0
43,2,44,2,81,0
76,10,15,26,9,1
80,6,0,20,27,0
37,6,45,4,75,1
1,11,2,5,72,0
86,6,47,15,42,1
44,11,24,26,9,0
58,9,19,24,15,0
32,10,29,7,66,0
26,8,21,6,69,0
85,3,5,24,15,0
81,13,47,9,60,1
73,1,48,5,72,1
45,0,25,8,63,0
26,4,1,17,36,0
22,15,15,6,69,0
18,4,47,5,72,0
15,7,26,15,42,0
59,16,45,14,45,1
83,16,10,17,36,1
13,14,42,18,33,1
34,4,46,19,30,0
19,14,32,8,63,0
50,16,41,29,0,1
31,17,43,15,42,1
53,11,47,13,48,1
95,6,29,1,84,1
32,4,44,5,72,0
40,7,41,15,42,1
18,6,31,28,3,0
51,19,32,3,78,1
46,10,46,1,84,1
63,14,21,21,24,1
14,18,44,23,18,1
71,11,46,18,33,1
40,19,18,10,57,1
40,17,49,2,81,1
77,2,49,19,30,1
87,2,31,1,84,1
46,7,5,26,9,0
73,8,41,29,0,1
35,19,24,8,63,1
72,7,41,19,30,1
6,5,22,0,87,0
80,7,18,27,6,1
16,7,19,4,75,0
3,10,28,16,39,0
72,11,18,3,78,1
87,19,33,28,3,1
55,16,34,14,45,1
55,1,16,16,39,0
67,18,14,4,75,1
34,19,19,23,18,1
94,15,14,8,63,1
26,10,12,10,57,0
25,2,45,25,12,0
81,7,47,6,69,1
82,7,3,18,33,0
85,14,47,11,54,1
57,17,14,15,42,1
66,14,26,14,45,1
10,19,35,22,21,1
91,2,40,0,87,1
49,5,4,29,0,0
32,19,34,0,87,1
34,16,28,29,0,1
72,9,34,25,12,1
75,18,24,23,18,1
72,3,15,1,84,0
13,16,32,8,63,0
6,16,21,24,15,0
28,14,44,21,24,1
39,9,19,25,12,0
60,9,36,25,12,1
58,17,38,27,6,1
91,14,38,17,36,1
65,9,12,25,12,0
11,10,47,21,24,0
97,3,5,5,72,0
74,16,1,6,69,1
52,12,20,19,30,1
30,17,5,13,48,0
27,5,32,25,12,0
56,14,43,18,33,1
70,19,25,2,81,1
28,12,23,7,66,0
97,1,17,12,51,1
18,19,6,12,51,0
76,4,33,14,45,1
80,11,36,2,81,1
61,19,27,11,54,1
78,2,7,21,24,0
16,13,1,18,33,0
80,16,41,17,36,1
40,16,43,4,75,1
43,9,1,13,48,0
75,10,29,21,24,1
91,13,12,28,3,1
81,3,49,4,75,1
0,18,12,28,3,0
35,1,41,0,87,0
41,17,13,3,78,0
61,16,17,27,6,1
99,16,22,16,39,1
75,12,16,4,75,1
8,16,47,26,9,1
49,8,13,17,36,0
61,16,22,9,60,1
9,2,0,2,81,0
71,8,28,23,18,1
69,16,18,4,75,1
80,14,11,16,39,1
92,9,40,5,72,1
24,13,23,19,30,0
12,13,1,0,87,0
11,0,10,19,30,0
28,4,43,26,9,0
74,19,8,2,81,1
36,17,32,20,27,1
3,6,25,12,51,0
66,7,19,22,21,1
23,6,36,23,18,0
24,3,33,25,12,0
51,2,3,4,75,0
73,1,46,15,42,1
76,0,44,10,57,1
17,10,7,18,33,0
73,4,23,9,60,1
88,12,33,26,9,1
25,15,29,16,39,0
40,17,42,15,42,1
14,4,19,14,45,0
36,2,44,10,57,0
65,11,3,29,0,0
60,14,31,2,81,1
5,7,34,1,84,0
71,13,36,19,30,1
20,15,38,12,51,1
67,10,29,19,30,1
1,8,12,25,12,0
34,13,40,16,39,1
97,2,32,18,33,1
20,17,18,14,45,0
31,13,9,19,30,0
8,14,49,0,87,1
74,12,35,22,21,1
2,16,1,25,12,0
9,3,6,20,27,0
59,0,45,15,42,1
44,17,8,22,21,0
36,10,5,19,30,0
15,1,14,15,42,0
80,8,47,14,45,1
69,11,12,0,87,1
17,1,41,7,66,0
51,14,20,14,45,1
59,0,4,0,87,0
29,2,37,10,57,0
50,0,12,28,3,0
74,19,13,29,0,1
62,19,1,26,9,1
1,18,42,0,87,1
23,6,9,11,54,0
34,8,40,7,66,1
85,8,30,24,15,1
63,3,9,1,84,0
83,8,14,25,12,1
6,13,11,19,30,0
16,9,39,26,9,0
29,18,49,26,9,1
57,16,40,28,3,1
95,15,36,2,81,1
38,13,45,18,33,1
12,13,23,2,81,0
99,6,42,11,54,1
2,4,23,18,33,0
81,8,2,21,24,0
2,17,42,16,39,1
36,17,42,29,0,1
67,2,32,1,84,1
20,10,27,9,60,0
23,5,40,11,54,0
65,11,33,29,0,1
24,17,15,27,6,0
44,18,44,18,33,1
71,19,6,21,24,1
12,13,30,2,81,0
29,19,32,28,3,1
8,4,5,9,60,0
15,10,32,2,81,0
44,14,14,18,33,0
61,6,28,5,72,1
85,1,13,13,48,0
56,18,39,20,27,1
22,2,40,29,0,0
39,17,43,28,3,1
50,19,42,28,3,1
6,1,0,29,0,0
59,10,25,12,51,1
40,1,25,4,75,0
47,16,12,7,66,0
17,10,42,4,75,0
75,6,38,25,12,1
29,10,3,26,9,0
58,6,41,24,15,1
20,9,47,17,36,1
38,14,0,25,12,0
34,0,40,19,30,0
37,12,4,5,72,0
96,4,15,25,12,1
43,17,8,7,66,0
80,13,31,27,6,1
35,10,39,18,33,1
74,16,34,4,75,1
97,2,48,12,51,1
11,15,45,12,51,1
54,6,7,26,9,0
60,9,28,24,15,1
69,19,20,22,21,1
32,12,43,8,63,1
97,16,40,26,9,1
55,9,21,10,57,0
97,18,24,6,69,1
67,7,37,17,36,1
88,5,4,25,12,0
18,16,4,19,30,0
37,17,40,9,60,1
19,11,46,13,48,1
30,3,13,5,72,0
59,18,7,16,39,1
39,15,7,8,63,0
75,13,8,9,60,1
89,12,5,27,6,1
50,3,32,10,57,0
81,5,49,20,27,1
57,11,4,1,84,0
95,8,40,20,27,1
77,16,45,25,12,1
27,3,9,20,27,0
91,15,21,6,69,1
85,5,27,19,30,1
5,13,46,29,0,0
72,1,40,5,72,1
39,12,0,22,21,0
34,6,15,19,30,0
68,17,18,27,6,1
5,13,4,7,66,0
92,19,43,14,45,1
64,3,14,28,3,0
94,11,8,14,45,1
84,12,43,8,63,1
48,7,19,15,42,0
83,0,36,25,12,1
30,19,44,16,39,1
74,18,6,13,48,1
2,16,13,23,18,0
39,6,47,4,75,1
29,7,20,3,78,0
92,13,49,24,15,1
87,11,47,17,36,1
10,11,25,1,84,0
65,15,38,3,78,1
50,3,23,6,69,0
90,6,8,16,39,1
35,16,35,24,15,1
75,2,46,25,12,1
12,7,45,7,66,0
12,4,12,5,72,0
4,9,47,26,9,0
27,12,23,27,6,0
91,18,35,9,60,1
73,14,45,16,39,1
65,17,40,12,51,1
69,8,41,27,6,1
92,5,39,0,87,1
85,11,12,27,6,1
55,2,33,7,66,0
74,13,46,0,87,1
73,0,40,6,69,1
1,12,17,20,27,0
4,12,15,1,84,0
21,13,26,11,54,0
88,9,25,3,78,1
30,5,28,13,48,0
11,6,4,26,9,0
87,6,19,19,30,1
41,18,23,0,87,1
14,18,44,19,30,1
40,1,10,11,54,0
53,18,27,22,21,1
11,9,16,0,87,0
14,6,25,3,78,0
4,19,25,13,48,0
12,10,9,24,15,0
15,2,3,19,30,0
19,11,16,7,66,0
66,1,16,16,39,0
75,0,42,10,57,1
78,16,37,4,75,1
5,17,7,19,30,0
59,7,38,23,18,1
76,15,10,2,81,1
78,14,37,14,45,1
61,4,11,5,72,0
30,12,39,12,51,1
18,11,49,13,48,1
86,10,47,11,54,1
80,14,20,3,78,1
1,1,13,21,24,0
13,6,17,18,33,0
84,0,42,21,24,1
19,19,22,19,30,0
66,6,35,3,78,1
54,18,24,28,3,1
66,7,38,26,9,1
44,15,31,13,48,1
59,3,5,26,9,0
59,8,31,21,24,1
47,4,35,18,33,0
43,7,22,20,27,0
25,2,40,10,57,0
14,13,7,23,18,0
24,3,15,24,15,0
28,5,48,3,78,0
72,4,18,6,69,0
46,18,24,6,69,1
53,0,7,3,78,0
24,19,30,3,78,1
14,13,16,7,66,0
59,16,38,8,63,1
12,0,45,10,57,0
18,6,29,4,75,0
35,1,45,1,84,0
90,15,22,29,0,1
80,7,25,15,42,1
0,1,30,2,81,0
65,12,5,21,24,0
43,8,44,29,0,1
6,5,17,5,72,0
54,11,40,2,81,1
73,11,6,16,39,0
58,18,25,27,6,1
0,11,19,20,27,0
42,4,47,7,66,1
6,17,19,9,60,0
87,8,21,16,39,1
4,8,32,9,60,0
33,11,43,14,45,1
95,1,45,19,30,1
32,0,21,1,84,0
24,3,43,11,54,0
67,6,13,26,9,0
1,19,6,27,6,0
43,17,32,15,42,1
85,6,11,15,42,1
30,16,28,25,12,1
14,4,4,1,84,0
9,4,29,23,18,0
4,1,0,12,51,0
52,6,11,28,3,0
34,16,31,23,18,1
29,1,48,4,75,0
16,6,33,29,0,0
51,6,11,28,3,0
39,15,27,28,3,1
51,4,8,18,33,0
39,19,41,29,0,1
32,18,17,10,57,0
22,4,12,0,87,0
8,10,46,4,75,0
10,10,17,9,60,0
47,1,10,3,78,0
0,17,26,16,39,0
79,14,19,5,72,1
24,4,23,28,3,0
27,10,36,29,0,0
54,8,48,5,72,1
5,2,20,6,69,0
89,13,13,4,75,1
56,15,47,10,57,1
7,3,8,26,9,0
34,17,7,3,78,0
9,17,47,20,27,1
86,18,11,20,27,1
29,4,42,10,57,0
91,11,35,22,21,1
42,2,45,15,42,1
58,16,13,1,84,1
11,3,9,0,87,0
60,15,46,1,84,1
66,19,6,24,15,1
97,2,11,26,9,1
85,10,37,10,57,1
27,9,0,19,30,0
53,17,7,5,72,0
95,12,27,15,42,1
84,6,31,23,18,1
20,16,41,21,24,1
65,7,30,7,66,1
42,7,38,10,57,1
44,4,31,28,3,0
22,4,3,8,63,0
45,0,25,0,87,0
95,15,7,13,48,1
74,18,29,7,66,1
54,17,27,0,87,1
34,16,40,4,75,1
54,0,46,27,6,1
62,17,10,15,42,1
29,2,39,23,18,0
46,17,37,0,87,1
50,14,10,26,9,0
64,16,45,29,0,1
96,2,0,15,42,0
70,17,44,1,84,1
37,18,40,27,6,1
27,14,5,19,30,0
50,0,27,2,81,0
97,13,45,8,63,1
54,0,13,11,54,0
81,2,6,5,72,0
77,1,40,19,30,1
43,4,20,8,63,0
59,2,29,0,87,0
21,2,35,28,3,0
97,11,5,11,54,1
58,16,27,21,24,1
86,1,32,6,69,1
12,11,31,3,78,0
20,3,7,15,42,0
70,16,40,0,87,1
29,10,12,25,12,0
83,10,9,28,3,1
61,2,11,17,36,0
80,13,16,27,6,1
70,15,3,2,81,1
15,16,2,13,48,0
3,8,15,29,0,0
34,7,13,11,54,0
8,14,12,19,30,0
86,6,17,29,0,1
81,15,30,0,87,1
95,10,12,22,21,1
95,18,20,3,78,1
74,7,40,2,81,1
3,0,16,27,6,0
34,11,36,28,3,1
23,1,36,10,57,0
23,17,47,8,63,1
45,0,48,8,63,1
78,13,45,10,57,1
21,1,14,24,15,0
12,3,43,27,6,0
19,16,13,20,27,0
18,4,27,5,72,0
12,13,47,23,18,1
65,10,37,0,87,1
10,12,37,25,12,0
33,8,18,25,12,0
35,13,33,19,30,1
73,3,43,7,66,1
17,17,44,0,87,1
85,7,21,7,66,1
87,12,26,10,57,1
12,17,33,12,51,0
19,10,24,7,66,0
16,17,25,8,63,0
12,4,10,11,54,0
59,17,35,22,21,1
1,13,1,5,72,0
80,12,4,14,45,1
77,11,47,29,0,1
54,5,47,2,81,1
28,11,13,7,66,0
40,11,48,11,54,1
12,8,39,23,18,0
63,17,34,11,54,1
23,17,7,28,3,0
68,2,14,28,3,0
58,12,34,2,81,1
55,16,27,18,33,1
14,1,28,1,84,0
8,11,4,15,42,0
58,10,49,13,48,1
43,16,37,6,69,1
21,17,12,18,33,0
71,5,45,14,45,1
41,18,11,26,9,0
69,15,3,29,0,1
30,15,46,2,81,1
28,5,16,24,15,0
98,17,36,23,18,1
98,14,41,7,66,1
88,10,18,4,75,1
12,0,22,14,45,0
28,15,13,24,15,0
76,13,9,2,81,1
7,17,39,11,54,1
39,7,19,26,9,0
97,1,49,4,75,1
21,15,6,13,48,0
7,0,43,20,27,0
89,7,11,24,15,1
33,16,18,16,39,0
58,5,43,3,78,1
76,9,44,26,9,1
78,18,41,2,81,1
98,19,8,6,69,1
97,8,6,27,6,1
93,11,32,4,75,1
74,12,24,15,42,1
37,1,41,11,54,0
50,12,42,18,33,1
45,16,34,13,48,1
72,7,0,15,42,0
56,15,37,23,18,1
21,13,7,28,3,0
28,18,39,8,63,1
78,10,18,17,36,1
52,16,13,6,69,1
62,8,3,24,15,0
46,5,24,18,33,0
19,7,25,17,36,0
85,0,9,21,24,0
16,7,25,29,0,0
91,18,19,7,66,1
63,2,46,26,9,1
57,18,21,17,36,1
2,3,36,18,33,0
47,3,28,7,66,0
15,17,1,11,54,0
2,5,46,19,30,0
24,19,38,24,15,1
82,17,24,17,36,1
20,17,49,11,54,1
54,10,25,7,66,1
98,9,13,24,15,1
40,1,43,4,75,0
21,16,1,6,69,0
21,8,10,1,84,0
74,10,10,22,21,1
71,6,19,24,15,1
86,3,37,9,60,1
37,10,46,12,51,1
39,3,21,27,6,0
20,10,9,14,45,0
84,15,14,23,18,1
93,19,27,18,33,1
64,13,12,19,30,1
11,19,20,23,18,0
92,13,44,5,72,1
49,0,3,10,57,0
41,13,4,6,69,0
58,16,18,10,57,1
76,16,46,12,51,1
45,2,42,28,3,0
89,14,9,6,69,1
81,13,28,15,42,1
70,15,39,10,57,1
39,4,29,8,63,0
54,19,28,7,66,1
88,18,14,3,78,1
25,16,32,14,45,1
52,16,30,1,84,1
63,1,19,28,3,0
25,5,31,6,69,0
21,1,35,8,63,0
62,9,16,21,24,0
41,1,9,8,63,0
12,9,32,1,84,0
3,19,29,24,15,0
39,4,39,2,81,0
86,16,3,21,24,1
13,9,26,18,33,0
95,7,4,20,27,1
73,10,37,12,51,1
75,16,27,29,0,1
48,9,18,2,81,0
35,1,15,5,72,0
43,12,44,9,60,1
3,7,15,14,45,0
0,12,5,4,75,0
34,2,0,12,51,0
79,15,31,16,39,1
67,13,6,6,69,0
84,19,2,5,72,1
74,17,29,14,45,1
10,0,32,7,66,0
82,14,14,24,15,1
78,19,7,3,78,1
78,15,44,21,24,1
90,16,8,9,60,1
75,13,5,7,66,1
39,14,17,23,18,0
21,6,44,19,30,0
39,15,6,10,57,0
84,12,35,5,72,1
88,4,3,7,66,0
4,11,34,5,72,0
94,14,31,14,45,1
24,6,26,13,48,0
81,0,2,3,78,0
4,6,26,3,78,0
15,1,39,2,81,0
92,0,8,11,54,0
73,13,17,6,69,1
78,18,21,3,78,1
94,7,0,18,33,0
1,18,21,5,72,0
48,5,9,24,15,0
82,7,4,8,63,0
30,17,29,8,63,1
29,3,18,6,69,0
14,15,41,18,33,1
68,11,8,20,27,0
92,5,49,2,81,1
93,5,33,26,9,1
16,7,30,5,72,0
77,6,28,4,75,1
10,8,24,21,24,0
67,7,33,29,0,1
1,6,33,7,66,0
24,7,42,8,63,0
12,10,47,21,24,0
97,14,29,16,39,1
36,10,36,9,60,1
5,5,35,20,27,0
92,17,35,0,87,1
51,17,33,24,15,1
45,13,29,15,42,1
82,18,26,5,72,1
74,4,21,5,72,1
48,10,6,26,9,0
23,8,35,22,21,0
62,6,0,20,27,0
46,1,48,7,66,1
59,8,1,15,42,0
